StackExchange,Size,Number of XMLs
mechanics.stackexchange.com.7z,49.1M,3,Badges.xml,PostHistory.xml,PostLinks.xml
meta.askubuntu.com.7z,18.2M,2,Badges.xml,Votes.xml
meta.mathoverflow.net.7z,7.2M,1,Badges.xml
meta.serverfault.com.7z,9.6M,1,Badges.xml
meta.stackexchange.com.7z,350.9M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
meta.stackoverflow.com.7z,272.7M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
meta.superuser.com.7z,17.6M,1,Badges.xml
moderators.meta.stackexchange.com.7z,484.0K,1,Badges.xml
moderators.stackexchange.com.7z,2.8M,1,Badges.xml
monero.meta.stackexchange.com.7z,216.3K,1,Badges.xml
money.meta.stackexchange.com.7z,2.3M,1,Badges.xml
money.stackexchange.com.7z,99.0M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
movies.meta.stackexchange.com.7z,4.7M,1,Badges.xml
movies.stackexchange.com.7z,68.5M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
music.meta.stackexchange.com.7z,2.7M,1,Badges.xml
music.stackexchange.com.7z,77.7M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
musicfans.meta.stackexchange.com.7z,614.2K,1,Badges.xml
musicfans.stackexchange.com.7z,6.4M,1,Badges.xml
mythology.meta.stackexchange.com.7z,556.3K,1,Badges.xml
mythology.stackexchange.com.7z,7.6M,1,Badges.xml
networkengineering.meta.stackexchange.com.7z,1.2M,1,Badges.xml
networkengineering.stackexchange.com.7z,39.0M,3,Badges.xml,PostHistory.xml,Posts.xml
opendata.meta.stackexchange.com.7z,476.9K,1,Badges.xml
opendata.stackexchange.com.7z,10.7M,1,Badges.xml
opensource.meta.stackexchange.com.7z,888.5K,1,Badges.xml
opensource.stackexchange.com.7z,12.3M,1,Badges.xml
or.meta.stackexchange.com.7z,342.1K,1,Badges.xml
or.stackexchange.com.7z,6.4M,1,Badges.xml
outdoors.meta.stackexchange.com.7z,1.6M,1,Badges.xml
outdoors.stackexchange.com.7z,25.4M,2,Badges.xml,Posts.xml
parenting.meta.stackexchange.com.7z,2.0M,1,Badges.xml
parenting.stackexchange.com.7z,35.8M,2,Badges.xml,Posts.xml
patents.meta.stackexchange.com.7z,448.1K,1,Badges.xml
patents.stackexchange.com.7z,10.3M,1,Badges.xml
pets.meta.stackexchange.com.7z,1.3M,1,Badges.xml
pets.stackexchange.com.7z,21.3M,2,Badges.xml,Votes.xml
philosophy.meta.stackexchange.com.7z,2.8M,1,Badges.xml
philosophy.stackexchange.com.7z,82.1M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Users.xml
photo.meta.stackexchange.com.7z,4.1M,1,Badges.xml
photo.stackexchange.com.7z,92.3M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
physics.meta.stackexchange.com.7z,13.9M,1,Badges.xml
physics.stackexchange.com.7z,526.6M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
pm.meta.stackexchange.com.7z,1.1M,1,Badges.xml
pm.stackexchange.com.7z,23.5M,2,Badges.xml,Users.xml
poker.meta.stackexchange.com.7z,312.7K,1,Badges.xml
poker.stackexchange.com.7z,5.8M,1,Badges.xml
politics.meta.stackexchange.com.7z,3.7M,1,Badges.xml
politics.stackexchange.com.7z,75.7M,4,Badges.xml,PostHistory.xml,PostLinks.xml,Votes.xml
portuguese.meta.stackexchange.com.7z,547.4K,1,Badges.xml
portuguese.stackexchange.com.7z,8.8M,1,Badges.xml
pt.meta.stackoverflow.com.7z,12.5M,1,Badges.xml
pt.stackoverflow.com.7z,418.2M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
puzzling.meta.stackexchange.com.7z,5.7M,1,Badges.xml
puzzling.stackexchange.com.7z,94.4M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
quant.meta.stackexchange.com.7z,688.9K,1,Badges.xml
quant.stackexchange.com.7z,41.6M,3,Badges.xml,PostHistory.xml,PostLinks.xml
quantumcomputing.meta.stackexchange.com.7z,780.3K,1,Badges.xml
quantumcomputing.stackexchange.com.7z,15.3M,1,Badges.xml
raspberrypi.meta.stackexchange.com.7z,1.7M,1,Badges.xml
raspberrypi.stackexchange.com.7z,84.9M,5,Badges.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
retrocomputing.meta.stackexchange.com.7z,1.1M,1,Badges.xml
retrocomputing.stackexchange.com.7z,26.6M,2,Badges.xml,Posts.xml
reverseengineering.meta.stackexchange.com.7z,501.1K,1,Badges.xml
reverseengineering.stackexchange.com.7z,22.9M,2,Badges.xml,Users.xml
robotics.meta.stackexchange.com.7z,548.6K,1,Badges.xml
robotics.stackexchange.com.7z,15.6M,1,Badges.xml
rpg.meta.stackexchange.com.7z,12.9M,1,Badges.xml
rpg.stackexchange.com.7z,221.0M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
ru.meta.stackoverflow.com.7z,15.4M,2,Badges.xml,Users.xml
ru.stackoverflow.com.7z,773.1M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
rus.meta.stackexchange.com.7z,560.1K,1,Badges.xml
rus.stackexchange.com.7z,40.1M,3,Badges.xml,PostHistory.xml,PostLinks.xml
russian.meta.stackexchange.com.7z,478.7K,1,Badges.xml
russian.stackexchange.com.7z,13.8M,1,Badges.xml
salesforce.meta.stackexchange.com.7z,2.1M,1,Badges.xml
salesforce.stackexchange.com.7z,212.2M,6,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml
scicomp.meta.stackexchange.com.7z,680.0K,1,Badges.xml
scicomp.stackexchange.com.7z,28.9M,2,Badges.xml,Posts.xml
scifi.meta.stackexchange.com.7z,14.1M,1,Badges.xml
scifi.stackexchange.com.7z,264.8M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
security.meta.stackexchange.com.7z,4.4M,1,Badges.xml
security.stackexchange.com.7z,206.5M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Votes.xml
serverfault.com.7z,699.7M,7,Badges.xml,Comments.xml,PostHistory.xml,PostLinks.xml,Posts.xml,Tags.xml,Users.xml,Votes.xml
sharepoint.meta.stackexchange.com.7z,1.4M,1,Badges.xml
