,LHS,RHS,support,confidence,coverage,lift,count
168,{lalita-sahasranama},{padmasana},0.0015146256034836388,0.04177545691906005,0.036256350383389604,4.5495051725839595,48
169,{shani},{teaching},0.0017986179041368212,0.1912751677852349,0.009403300621627591,15.66331096196868,57
170,{teaching},{shani},0.0017986179041368212,0.14728682170542637,0.012211668928086837,15.663310961968682,57
171,{shani},{prisoners},0.0013568521031207597,0.14429530201342283,0.00940330062162759,10.32248852394443,43
172,{prisoners},{shani},0.0013568521031207597,0.09706546275395034,0.013978732132151082,10.32248852394443,43
173,{shani},{nimbarkacharya},0.0011990786027578808,0.12751677852348994,0.009403300621627591,7.653663310961969,38
174,{nimbarkacharya},{shani},0.0011990786027578808,0.07196969696969698,0.016660881638320028,7.65366331096197,38
175,{shani},{devtas},0.0011990786027578808,0.12751677852348994,0.009403300621627591,2.857944998718472,38
176,{devtas},{shani},0.0011990786027578808,0.026874115983026876,0.044618345902622196,2.857944998718472,38
177,{ashwamedha},{yaska},0.0014199615032659115,0.14285714285714285,0.009939730522861382,10.553113553113551,45
178,{yaska},{ashwamedha},0.0014199615032659115,0.1048951048951049,0.013536966331135023,10.553113553113553,45
179,{ashwamedha},{mukti},0.0011990786027578808,0.12063492063492064,0.00993973052286138,8.402288505145648,38
180,{mukti},{ashwamedha},0.0011990786027578808,0.08351648351648351,0.014357388533021995,8.402288505145648,38
181,{ashwamedha},{kumarila-bhatta},0.0015146256034836388,0.1523809523809524,0.009939730522861378,2.9178880736584665,48
182,{kumarila-bhatta},{ashwamedha},0.0015146256034836388,0.029003021148036254,0.052223028620112966,2.9178880736584665,48
183,{goddess},{yoga-vashishtha},0.002650594806096368,0.2625,0.01009750402322426,9.695673076923077,84
184,{yoga-vashishtha},{goddess},0.002650594806096368,0.0979020979020979,0.027073932662270046,9.695673076923077,84
185,{goddess},{appayya-dikshitar},0.0015461803035562148,0.153125,0.01009750402322426,5.167927981895635,49
186,{appayya-dikshitar},{goddess},0.0015461803035562148,0.05218317358892439,0.029629863368148688,5.167927981895634,49
187,{goddess},{exaltation},0.001830172604209397,0.18125,0.01009750402322426,5.328380102040816,58
188,{exaltation},{goddess},0.001830172604209397,0.05380333951762523,0.034015966678236725,5.328380102040816,58
189,{goddess},{priests},0.0014515162033384872,0.14375,0.01009750402322426,3.480199579831932,46
190,{priests},{goddess},0.0014515162033384872,0.03514132925897632,0.041305102395001736,3.4801995798319325,46
191,{trinity},{devtas},0.0010413051023950017,0.09243697478991597,0.011265027925909563,2.071725719990967,33
192,{devtas},{trinity},0.0010413051023950017,0.02333804809052334,0.044618345902622196,2.0717257199909667,33
193,{trinity},{kumarila-bhatta},0.0012306333028304565,0.1092436974789916,0.011265027925909563,2.0918682881007387,39
194,{kumarila-bhatta},{trinity},0.0012306333028304565,0.023564954682779457,0.05222302862011296,2.091868288100739,39
195,{immortality},{devtas},0.004954087911394402,0.4604105571847507,0.010760152724748352,10.31886207053885,157
196,{devtas},{immortality},0.004954087911394402,0.11103253182461104,0.044618345902622196,10.31886207053885,157
197,{life-span},{yoga-vashishtha},0.0011359692026127292,0.10404624277456648,0.010917926225111231,3.843041351711872,36
198,{yoga-vashishtha},{life-span},0.0011359692026127292,0.04195804195804196,0.027073932662270046,3.8430413517118724,36
199,{life-span},{lalita-sahasranama},0.0011044145025401533,0.10115606936416185,0.01091792622511123,2.790023493663754,35
200,{lalita-sahasranama},{life-span},0.0011044145025401533,0.030461270670147953,0.036256350383389604,2.7900234936637536,35
201,{life-span},{exaltation},0.005932283613644253,0.5433526011560693,0.010917926225111231,15.973457591128936,188
202,{exaltation},{life-span},0.005932283613644253,0.17439703153988867,0.034015966678236725,15.973457591128936,188
203,{cycles},{lalita-sahasranama},0.0019563914044997003,0.16272965879265092,0.012022340727651385,4.4883077604855535,62
204,{lalita-sahasranama},{cycles},0.0019563914044997003,0.053959965187119235,0.036256350383389604,4.488307760485553,62
205,{cycles},{exaltation},0.001987946104572276,0.16535433070866143,0.012022340727651383,4.861079865016873,63
206,{exaltation},{cycles},0.001987946104572276,0.05844155844155844,0.034015966678236725,4.8610798650168725,63
207,{cycles},{kumarila-bhatta},0.0011359692026127292,0.09448818897637795,0.012022340727651385,1.8093203606346788,36
208,{kumarila-bhatta},{cycles},0.0011359692026127292,0.02175226586102719,0.05222302862011297,1.809320360634679,36
209,{vyuha},{mukti},0.0010413051023950017,0.07801418439716312,0.013347638130699568,5.433730808198893,33
210,{mukti},{vyuha},0.0010413051023950017,0.07252747252747253,0.014357388533021992,5.433730808198893,33
211,{vyuha},{india},0.0015461803035562148,0.11583924349881797,0.013347638130699568,6.823534322901562,49
212,{india},{vyuha},0.0015461803035562148,0.09107806691449814,0.016976428639045787,6.823534322901562,49
213,{vyuha},{kumarila-bhatta},0.0013884068031933356,0.10401891252955082,0.013347638130699568,1.9918207595009036,44
214,{kumarila-bhatta},{vyuha},0.0013884068031933356,0.026586102719033233,0.052223028620112966,1.9918207595009034,44
215,{obscurity},{prisoners},0.0014515162033384872,0.12602739726027398,0.01151746552649017,9.015652926806643,46
216,{prisoners},{obscurity},0.0014515162033384872,0.1038374717832957,0.013978732132151084,9.015652926806641,46
217,{obscurity},{nimbarkacharya},0.0010413051023950017,0.09041095890410959,0.01151746552649017,5.4265410958904114,33
218,{nimbarkacharya},{obscurity},0.0010413051023950017,0.0625,0.016660881638320028,5.426541095890411,33
219,{obscurity},{appayya-dikshitar},0.0010097504023224258,0.08767123287671233,0.01151746552649017,2.9588807679402453,32
220,{appayya-dikshitar},{obscurity},0.0010097504023224258,0.03407880724174654,0.02962986336814868,2.9588807679402453,32
